stroke_idx,wp_idx,kind,x_m,y_m,z_m,qx,qy,qz,qw,intensity,q1,q2,q3,q4,q5,q6,q7
0,0,lift_start,-0.400300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,0.000,-1.519412,1.045868,-2.152948,-1.943186,-2.295434,1.834692,-0.988633
0,1,draw,-0.400300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.519412,1.045868,-2.152948,-1.943186,-2.295434,1.834692,-0.988633
0,2,draw,-0.401300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.523055,1.045935,-2.150964,-1.940146,-2.293712,1.835360,-0.988633
0,3,draw,-0.402300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.526706,1.046019,-2.148989,-1.937097,-2.291979,1.836041,-0.988633
0,4,draw,-0.403300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.530366,1.046121,-2.147021,-1.934040,-2.290237,1.836736,-0.988633
0,5,draw,-0.404300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.534036,1.046240,-2.145062,-1.930974,-2.288485,1.837444,-0.988633
0,6,draw,-0.405300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.537714,1.046377,-2.143111,-1.927898,-2.286722,1.838166,-0.988633
0,7,draw,-0.406300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.541401,1.046531,-2.141169,-1.924815,-2.284948,1.838902,-0.988633
0,8,draw,-0.407300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.545097,1.046704,-2.139235,-1.921722,-2.283164,1.839652,-0.988633
0,9,draw,-0.408300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.548802,1.046894,-2.137311,-1.918620,-2.281369,1.840416,-0.988633
0,10,draw,-0.409300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.552517,1.047102,-2.135395,-1.915509,-2.279563,1.841194,-0.988633
0,11,draw,-0.410300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.556240,1.047329,-2.133489,-1.912389,-2.277745,1.841987,-0.988633
0,12,draw,-0.411300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.559972,1.047574,-2.131593,-1.909260,-2.275916,1.842794,-0.988633
0,13,draw,-0.412300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.563713,1.047837,-2.129706,-1.906122,-2.274075,1.843616,-0.988633
0,14,draw,-0.413300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.567463,1.048119,-2.127830,-1.902975,-2.272223,1.844452,-0.988633
0,15,draw,-0.414300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.571222,1.048419,-2.125964,-1.899818,-2.270358,1.845303,-0.988633
0,16,draw,-0.415300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.574990,1.048739,-2.124108,-1.896652,-2.268481,1.846168,-0.988633
0,17,draw,-0.416300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.578768,1.049077,-2.122264,-1.893477,-2.266592,1.847049,-0.988633
0,18,draw,-0.417300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.582554,1.049435,-2.120430,-1.890293,-2.264690,1.847945,-0.988633
0,19,draw,-0.418300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.586349,1.049811,-2.118608,-1.887099,-2.262775,1.848856,-0.988633
0,20,draw,-0.419300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.590154,1.050207,-2.116797,-1.883896,-2.260846,1.849783,-0.988633
0,21,draw,-0.420300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.593967,1.050623,-2.114997,-1.880683,-2.258905,1.850725,-0.988633
0,22,draw,-0.421300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.597790,1.051058,-2.113210,-1.877461,-2.256949,1.851682,-0.988633
0,23,draw,-0.422300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.601622,1.051514,-2.111436,-1.874229,-2.254980,1.852656,-0.988633
0,24,draw,-0.423300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.605463,1.051989,-2.109673,-1.870988,-2.252997,1.853645,-0.988633
0,25,draw,-0.424300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.609314,1.052484,-2.107924,-1.867736,-2.250999,1.854651,-0.988633
0,26,draw,-0.425300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.613173,1.053000,-2.106188,-1.864476,-2.248987,1.855673,-0.988633
0,27,draw,-0.426300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.617042,1.053536,-2.104465,-1.861205,-2.246960,1.856711,-0.988633
0,28,draw,-0.427300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.620920,1.054092,-2.102756,-1.857924,-2.244918,1.857765,-0.988633
0,29,draw,-0.428300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.624808,1.054670,-2.101060,-1.854634,-2.242861,1.858837,-0.988633
0,30,draw,-0.429300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.628705,1.055268,-2.099379,-1.851334,-2.240788,1.859925,-0.988633
0,31,draw,-0.430300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.632611,1.055888,-2.097713,-1.848023,-2.238698,1.861030,-0.988633
0,32,draw,-0.431300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.636527,1.056528,-2.096062,-1.844703,-2.236593,1.862153,-0.988633
0,33,draw,-0.432300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.640453,1.057191,-2.094425,-1.841372,-2.234471,1.863293,-0.988633
0,34,draw,-0.433300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.644388,1.057875,-2.092805,-1.838032,-2.232332,1.864450,-0.988633
0,35,draw,-0.434300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.648333,1.058580,-2.091200,-1.834681,-2.230177,1.865625,-0.988633
0,36,draw,-0.435300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.652287,1.059308,-2.089611,-1.831320,-2.228003,1.866818,-0.988633
0,37,draw,-0.436300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.656251,1.060058,-2.088039,-1.827948,-2.225812,1.868030,-0.988633
0,38,draw,-0.437300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.660226,1.060831,-2.086484,-1.824567,-2.223603,1.869259,-0.988633
0,39,draw,-0.438300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.664209,1.061626,-2.084946,-1.821174,-2.221375,1.870508,-0.988633
0,40,draw,-0.439300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.668203,1.062444,-2.083426,-1.817771,-2.219129,1.871775,-0.988633
0,41,draw,-0.440300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.672207,1.063285,-2.081923,-1.814358,-2.216863,1.873060,-0.988633
0,42,draw,-0.441300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.676222,1.064150,-2.080439,-1.810934,-2.214578,1.874366,-0.988633
0,43,draw,-0.442300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.680246,1.065038,-2.078974,-1.807499,-2.212273,1.875690,-0.988633
0,44,draw,-0.443300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.684280,1.065949,-2.077528,-1.804053,-2.209948,1.877034,-0.988633
0,45,draw,-0.444300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.688325,1.066885,-2.076101,-1.800597,-2.207602,1.878399,-0.988633
0,46,draw,-0.445300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.692381,1.067845,-2.074695,-1.797130,-2.205235,1.879783,-0.988633
0,47,draw,-0.446300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.696447,1.068829,-2.073308,-1.793651,-2.202846,1.881187,-0.988633
